Designator,Mid X,Mid Y,Rotation,Layer
C1,131.180000,-62.000000,180.000000,Top
C2,131.180000,-74.800000,180.000000,Top
C3,131.180000,-87.500000,180.000000,Top
C4,131.180000,-100.200000,180.000000,Top
C5,156.300000,-84.800000,0.000000,Top
C6,145.600000,-81.100000,-90.000000,Top
C7,138.150000,-55.000000,-90.000000,Top
C8,135.350000,-55.000000,-90.000000,Top
C9,158.450000,-79.050000,-90.000000,Top
C10,150.200000,-81.100000,-90.000000,Top
D1,152.100000,-90.200000,180.000000,Top
D2,164.299096,-83.063788,90.000000,Top
FID1,129.500000,-54.500000,0.000000,Top
FID2,167.000000,-86.000000,0.000000,Top
FID3,132.500000,-114.500000,0.000000,Top
H1,123.500000,-53.500000,0.000000,Top
H2,166.500000,-53.500000,0.000000,Top
H3,123.500000,-116.500000,0.000000,Top
H4,166.500000,-116.500000,0.000000,Top
J1,125.750000,-62.120000,0.000000,Top
J2,125.750000,-74.820000,0.000000,Top
J3,125.750000,-87.520001,0.000000,Top
J4,125.750000,-100.220000,0.000000,Top
J5,139.045000,-108.774236,0.000000,Top
J6,163.317500,-94.475000,90.000000,Top
J7,164.050000,-73.915000,180.000000,Top
R1,130.930000,-64.625000,180.000000,Top
R2,130.930000,-77.350000,180.000000,Top
R3,130.930000,-90.050000,180.000000,Top
R4,130.930000,-102.800000,180.000000,Top
R5,154.137500,-77.650000,180.000000,Top
U1,139.975000,-83.160000,0.000000,Top
U3,142.510000,-53.570000,0.000000,Top
